threshold,accuracy,f1,recall,precision,err_rate
0.8244308829307556,0.5,0.6666666666666666,1.0,0.5,0.5
0.830226595677323,0.5001666666666666,0.666740748972108,1.0,0.5000833472245374,0.49983333333333335
0.8360223084238906,0.5001666666666666,0.666740748972108,1.0,0.5000833472245374,0.49983333333333335
0.841818021170458,0.5,0.6665925761280285,0.9996666666666667,0.5,0.5
0.8476137339170254,0.5,0.6665184526456203,0.9993333333333333,0.5,0.5
0.853409446663593,0.5001666666666666,0.6665925514174541,0.9993333333333333,0.5000834028356964,0.49983333333333335
0.8592051594101604,0.501,0.6669632925472747,0.9993333333333333,0.5005008347245409,0.499
0.8650008721567278,0.5011666666666666,0.6668892598775737,0.9986666666666667,0.5005847953216375,0.49883333333333335
0.8707965849032954,0.502,0.667260579064588,0.9986666666666667,0.5010033444816053,0.498
0.8765922976498628,0.5025,0.66726117489689,0.9976666666666667,0.5012560710098811,0.49750000000000005
0.8823880103964302,0.5033333333333333,0.6674849363981255,0.997,0.5016772895001678,0.4966666666666667
0.8881837231429976,0.5051666666666667,0.668231087272321,0.9966666666666667,0.5026054799125903,0.49483333333333335
0.8939794358895652,0.5065,0.6686807653575025,0.996,0.5032844871147044,0.49350000000000005
0.8997751486361326,0.5091666666666667,0.6697319726365369,0.9953333333333333,0.5046476254858882,0.49083333333333334
0.9055708613827,0.5133333333333333,0.671541057367829,0.995,0.5067911714770797,0.4866666666666667
0.9113665741292676,0.518,0.6732203389830509,0.993,0.5092307692307693,0.482
0.917162286875835,0.5231666666666667,0.6753659366844434,0.992,0.5119559607775676,0.47683333333333333
0.9229579996224024,0.5303333333333333,0.6783105022831051,0.9903333333333333,0.5157986111111111,0.4696666666666667
0.92875371236897,0.5356666666666666,0.6798437140887152,0.986,0.5187653454928095,0.4643333333333334
0.9345494251155374,0.5438333333333333,0.6830341632889404,0.983,0.5233362910381544,0.4561666666666667
0.9403451378621048,0.554,0.6870175438596491,0.979,0.5291891891891892,0.44599999999999995
0.9461408506086724,0.5643333333333334,0.6910895769321673,0.9746666666666667,0.5353350421091175,0.43566666666666665
0.9519365633552398,0.5756666666666667,0.6956729619890031,0.97,0.5423033917256802,0.42433333333333334
0.9577322761018072,0.5898333333333333,0.7021662834321675,0.967,0.5512065361960858,0.4101666666666667
0.9635279888483748,0.6045,0.7086556169429098,0.962,0.560932944606414,0.39549999999999996
0.9693237015949422,0.6203333333333333,0.716243148978575,0.9583333333333334,0.5717979315831344,0.3796666666666667
0.9751194143415096,0.6335,0.7223835374321425,0.9536666666666667,0.5813858971753708,0.36650000000000005
0.9809151270880772,0.6523333333333333,0.7318766066838046,0.949,0.5956066945606695,0.3476666666666667
0.9867108398346446,0.6713333333333333,0.7418848167539267,0.9446666666666667,0.6107758620689655,0.32866666666666666
0.992506552581212,0.686,0.7496012759170654,0.94,0.623342175066313,0.31399999999999995
0.9983022653277795,0.7031666666666667,0.7588354773188897,0.934,0.6389965792474345,0.2968333333333333
1.004097978074347,0.7166666666666667,0.7657756957839625,0.9263333333333333,0.6526538280883044,0.2833333333333333
1.0098936908209144,0.731,0.773505472916082,0.9186666666666666,0.6679592825981581,0.269
1.015689403567482,0.7455,0.7818883016711898,0.9123333333333333,0.6840789802549363,0.25449999999999995
1.0214851163140493,0.7618333333333334,0.7917213234222417,0.9053333333333333,0.7034447034447034,0.23816666666666664
1.0272808290606168,0.774,0.7988130563798219,0.8973333333333333,0.7197860962566844,0.22599999999999998
1.0330765418071843,0.7855,0.8057358490566038,0.8896666666666667,0.7362758620689656,0.21450000000000002
1.0388722545537517,0.7966666666666666,0.8128834355828221,0.8833333333333333,0.7528409090909091,0.20333333333333337
1.0446679673003192,0.8073333333333333,0.8192620387742339,0.8733333333333333,0.7714958775029447,0.19266666666666665
1.0504636800468867,0.8156666666666667,0.8242212333121424,0.8643333333333333,0.7876670716889429,0.18433333333333335
1.056259392793454,0.8251666666666667,0.8302314290338243,0.855,0.8068575023592325,0.17483333333333329
1.0620551055400216,0.8328333333333333,0.8352767285268518,0.8476666666666667,0.8232437682097766,0.16716666666666669
1.0678508182865891,0.8385,0.8386344712739384,0.8393333333333334,0.837936772046589,0.16149999999999998
1.0736465310331564,0.8421666666666666,0.8400608005404493,0.829,0.8514207463197535,0.15783333333333338
1.079442243779724,0.8465,0.8422675115601986,0.8196666666666667,0.8661500528355055,0.15349999999999997
1.0852379565262915,0.8495,0.843473738949558,0.811,0.8786565547128927,0.15049999999999997
1.0910336692728588,0.8536666666666667,0.8460189407225535,0.804,0.8926720947446336,0.14633333333333332
1.0968293820194264,0.8566666666666667,0.8474636395885066,0.7963333333333333,0.9056103108415466,0.1433333333333333
1.102625094765994,0.8568333333333333,0.8460297544362789,0.7866666666666666,0.9150833656455991,0.14316666666666666
1.1084208075125612,0.8553333333333333,0.842582517228872,0.7743333333333333,0.9240254574383453,0.14466666666666672
1.1142165202591288,0.856,0.8412931667891257,0.7633333333333333,0.936988543371522,0.14400000000000002
1.1200122330056963,0.857,0.8410522415709522,0.7566666666666667,0.9466221851542952,0.14300000000000002
1.1258079457522636,0.8555,0.8378530016831869,0.7466666666666667,0.9544098849595228,0.14449999999999996
1.1316036584988312,0.8538333333333333,0.8348710224063265,0.739,0.9593249675465166,0.14616666666666667
1.1373993712453987,0.854,0.8339651250947687,0.7333333333333333,0.9666080843585237,0.14600000000000002
1.143195083991966,0.8523333333333334,0.8303332056683264,0.7226666666666667,0.9756975697569757,0.1476666666666666
